Job Title,Job Description,Skills,Company,Location
NLP Engineer,"We are looking for a NLP Engineer at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Power BI, REST APIs, TensorFlow, Java, Machine Learning, Linux, JavaScript",Cognizant,Chennai
Full Stack Developer,"We are looking for a Full Stack Developer at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Linux, Spark, Machine Learning, TensorFlow, React, REST APIs",TechNova,Chennai
AI Engineer,"We are looking for a AI Engineer at StartupX. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Machine Learning, Spark, Java, Deep Learning, React, AWS",StartupX,Bangalore
Data Scientist,"We are looking for a Data Scientist at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Spark, Machine Learning, NLP, SQL, Tableau, Power BI",Meta,Pune
Frontend Developer,"We are looking for a Frontend Developer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","NLP, Python, SQL, Spark",Amazon,Hyderabad
Data Scientist,"We are looking for a Data Scientist at TechNova. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Deep Learning, Linux, PyTorch, React, Kubernetes",TechNova,Chennai
Data Analyst,"We are looking for a Data Analyst at Cognizant. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Docker, Power BI, TensorFlow, SQL, NLP",Cognizant,Remote
Business Analyst,"We are looking for a Business Analyst at Accenture. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","REST APIs, Linux, AWS, Java, Deep Learning, Node.js",Accenture,Hyderabad
Full Stack Developer,"We are looking for a Full Stack Developer at Google. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Python, SQL, Tableau, NLP, Deep Learning, React, PyTorch",Google,Remote
Data Analyst,"We are looking for a Data Analyst at Meta. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","TensorFlow, Git, Docker, JavaScript",Meta,Pune
DevOps Engineer,"We are looking for a DevOps Engineer at Amazon. The candidate will work on real-world projects, collaborate with teams, and build scalable solutions using modern technologies.","Tableau, Node.js, Python, TensorFlow, Machine Learning, Kubernetes",Amazon,Remote
